Priemer,Maximum
21.08,24
20.99,24
23.49,25
23.57,25
23.51,25
23.45,25
23.63,25
23.65,25
23.68,25
23.25,25
24.08,25
24.22,25
23.63,25
23.82,25
23.62,25
23.75,25
23.63,25
23.78,25
23.38,25
23.51,25
23.82,25
24.0,25
23.22,25
23.64,25
23.5,25
23.6,25
23.48,25
23.77,25
23.76,25
24.12,25
23.16,25
23.39,25
23.41,25
23.21,25
23.45,25
23.6,25
23.78,25
23.98,25
23.52,25
24.09,25
23.44,25
23.21,25
23.72,25
23.76,25
23.73,25
23.36,25
23.09,25
22.69,25
23.04,25
23.34,25
23.14,25
23.8,25
23.48,25
23.61,25
23.24,25
23.26,25
22.69,25
22.5,25
23.68,25
23.5,25
23.35,25
23.67,25
24.1,25
23.47,25
23.53,25
23.68,25
23.96,25
23.72,25
23.75,25
23.41,25
22.74,25
22.76,25
22.8,25
22.89,25
22.86,25
23.4,25
22.75,25
23.21,25
22.8,25
23.04,25
23.11,25
23.42,25
23.88,25
22.9,25
23.55,25
23.83,25
23.43,25
23.42,25
23.6,25
23.81,25
23.65,25
23.96,25
23.93,25
23.85,25
23.73,25
23.3,25
23.5,25
23.24,25
23.94,25
23.68,25
23.5,25
